epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5809,2.246,3.57139,2.10969,0.63381,0.08293,0.08273,0.0437,2.82241,6.19841,2.62755,0.000273188,0.000273188,0.000273188
2,24.3822,2.19107,2.75763,2.03517,0.09255,0.17689,0.10105,0.05437,2.30478,4.66365,2.11077,0.000539948,0.000539948,0.000539948
3,32.9969,2.18061,2.6586,2.10511,0.62478,0.17424,0.16205,0.03409,2.81283,4.88868,2.60677,0.000795712,0.000795712,0.000795712
4,41.5521,2.16693,2.55673,2.0617,0.35256,0.14476,0.17094,0.06929,2.28065,4.97386,2.09224,0.00078352,0.00078352,0.00078352
5,50.1477,2.11621,2.47251,2.06202,0.13457,0.41035,0.18155,0.07964,2.12239,3.59734,1.97525,0.000767026,0.000767026,0.000767026
6,58.9614,2.1009,2.39452,2.02862,0.47386,0.19365,0.14228,0.06261,2.53912,3.51698,2.22972,0.000750533,0.000750533,0.000750533
7,67.3587,2.05832,2.27487,1.99486,0.50483,0.29556,0.32675,0.0987,2.22115,3.73444,1.91086,0.00073404,0.00073404,0.00073404
8,76.0712,2.04109,2.218,1.97365,0.32822,0.18837,0.15425,0.05391,2.49855,3.87409,2.18622,0.000717546,0.000717546,0.000717546
9,84.4405,2.00742,2.12079,1.94481,0.47084,0.17411,0.16082,0.08151,2.41201,3.10519,2.05015,0.000701053,0.000701053,0.000701053
10,92.9214,1.96923,2.04515,1.89762,0.56743,0.29425,0.32191,0.14236,2.21106,2.96642,1.85246,0.000684559,0.000684559,0.000684559
11,101.713,1.91461,2.00395,1.87835,0.44332,0.31347,0.33758,0.12269,2.33678,2.69474,1.95396,0.000668066,0.000668066,0.000668066
12,110.173,1.92685,1.96012,1.86625,0.42915,0.18069,0.18243,0.07728,2.2372,2.97388,1.85838,0.000651573,0.000651573,0.000651573
13,118.643,1.87673,1.83496,1.79866,0.1797,0.38426,0.21593,0.08762,2.26907,2.5036,1.9336,0.000635079,0.000635079,0.000635079
14,126.98,1.84021,1.78589,1.80136,0.39796,0.44468,0.20414,0.08927,2.45563,3.49675,2.1492,0.000618586,0.000618586,0.000618586
15,135.488,1.83845,1.78538,1.80378,0.30454,0.18055,0.15863,0.06409,2.47195,3.15635,2.04114,0.000602092,0.000602092,0.000602092
16,143.942,1.82172,1.80139,1.82282,0.57268,0.20798,0.20023,0.0819,2.31636,2.81291,1.87517,0.000585599,0.000585599,0.000585599
17,152.327,1.80799,1.70793,1.77338,0.3878,0.31526,0.2061,0.07629,2.09563,2.64376,1.91443,0.000569106,0.000569106,0.000569106
18,160.766,1.74508,1.62169,1.70913,0.61299,0.26459,0.2195,0.09754,2.2475,2.80641,1.77803,0.000552612,0.000552612,0.000552612
19,169.139,1.72994,1.61236,1.70307,0.361,0.42309,0.21262,0.09994,2.01157,2.57447,1.78084,0.000536119,0.000536119,0.000536119
20,177.725,1.7298,1.54971,1.68511,0.55817,0.18998,0.18574,0.08187,2.23483,2.57051,1.87096,0.000519625,0.000519625,0.000519625
21,185.965,1.67706,1.50198,1.65939,0.4425,0.41552,0.26859,0.10588,2.19468,2.37591,1.8234,0.000503132,0.000503132,0.000503132
22,194.432,1.67517,1.46855,1.65214,0.4951,0.28482,0.24459,0.10654,2.41144,2.46675,2.00567,0.000486639,0.000486639,0.000486639
23,202.862,1.65597,1.44304,1.61851,0.55197,0.16735,0.17643,0.08166,2.28989,2.49591,1.9708,0.000470145,0.000470145,0.000470145
24,211.395,1.6494,1.40163,1.64523,0.22967,0.41176,0.20606,0.08732,2.10738,2.31831,1.81634,0.000453652,0.000453652,0.000453652
25,219.732,1.60549,1.36464,1.59724,0.18271,0.45084,0.2481,0.0852,2.02944,2.3258,1.72071,0.000437158,0.000437158,0.000437158
26,228.162,1.5794,1.32386,1.59444,0.51962,0.17295,0.14636,0.07708,2.14294,2.54626,1.81943,0.000420665,0.000420665,0.000420665
