epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.144,1.22128,1.85009,1.43632,0.40964,0.50428,0.43419,0.24681,1.37328,1.89789,1.47715,0.000144872,0.000144872,0.000144872
2,326.346,1.29141,1.54985,1.47323,0.58431,0.47983,0.47408,0.26677,1.32677,4.51176,1.41541,0.000284133,0.000284133,0.000284133
3,478.644,1.28601,1.52055,1.47795,0.55403,0.42126,0.41782,0.23396,1.36478,8.84506,1.47924,0.000417652,0.000417652,0.000417652
4,629.799,1.23966,1.43321,1.4504,0.60874,0.52966,0.52812,0.31106,1.34425,2.2398,1.44586,0.000409161,0.000409161,0.000409161
5,781.035,1.18781,1.33165,1.41017,0.64624,0.61106,0.62631,0.39133,1.20051,2.45669,1.35642,0.000400548,0.000400548,0.000400548
6,932.152,1.14603,1.22603,1.38033,0.68381,0.62051,0.61519,0.39071,1.2008,1.36118,1.33145,0.000391935,0.000391935,0.000391935
7,1083.64,1.10449,1.15484,1.35392,0.66421,0.63987,0.62761,0.406,1.15656,1.22357,1.30149,0.000383322,0.000383322,0.000383322
8,1235.74,1.0686,1.10694,1.32536,0.68327,0.68543,0.67909,0.44431,1.12901,1.11692,1.26727,0.000374709,0.000374709,0.000374709
9,1387.1,1.05907,1.06162,1.3161,0.66954,0.71017,0.68407,0.45137,1.13219,1.17164,1.28304,0.000366096,0.000366096,0.000366096
10,1538.1,1.02354,1.01601,1.29802,0.70008,0.70177,0.69817,0.46446,1.07449,1.422,1.24288,0.000357483,0.000357483,0.000357483
11,1689.25,1.01177,0.99722,1.28548,0.69621,0.65999,0.70603,0.47299,1.09303,1.07491,1.23954,0.00034887,0.00034887,0.00034887
12,1840.39,1.00061,0.95613,1.2751,0.718,0.7137,0.7105,0.48713,1.04171,0.97142,1.20782,0.000340257,0.000340257,0.000340257
13,1991.61,0.9773,0.93066,1.26044,0.73608,0.71924,0.73729,0.49894,1.03569,1.22304,1.20946,0.000331644,0.000331644,0.000331644
14,2143.14,0.9694,0.91512,1.25655,0.73552,0.74223,0.74007,0.49793,1.05337,1.06438,1.21572,0.000323031,0.000323031,0.000323031
15,2293.95,0.95292,0.88265,1.24353,0.74301,0.75525,0.77052,0.53092,1.03703,1.11853,1.20049,0.000314418,0.000314418,0.000314418
16,2445.23,0.94237,0.86467,1.23099,0.73961,0.77753,0.7752,0.54394,0.99909,0.97488,1.18154,0.000305805,0.000305805,0.000305805
17,2596.32,0.92827,0.84378,1.22468,0.78338,0.77497,0.79393,0.55177,0.99774,1.12766,1.17562,0.000297192,0.000297192,0.000297192
18,2749.15,0.91744,0.83396,1.21747,0.77704,0.76747,0.78411,0.53479,1.01038,1.13256,1.17467,0.000288579,0.000288579,0.000288579
19,2901,0.91164,0.81364,1.2163,0.76473,0.76665,0.77784,0.55099,0.99705,1.08538,1.16826,0.000279966,0.000279966,0.000279966
20,3052.28,0.90403,0.8064,1.21109,0.75557,0.78122,0.78778,0.55721,0.99454,0.816,1.15572,0.000271353,0.000271353,0.000271353
21,3203.53,0.90296,0.79688,1.20373,0.77883,0.7648,0.78971,0.55802,0.98013,0.95635,1.14598,0.00026274,0.00026274,0.00026274
